iter	Passed	Remaining
236	443	3766
237	445	3765
238	447	3763
239	449	3763
240	451	3764
241	453	3764
242	455	3761
243	457	3759
244	459	3758
245	461	3756
246	463	3757
247	465	3755
248	467	3753
249	468	3750
250	470	3747
251	472	3745
252	474	3743
253	476	3741
254	478	3740
255	480	3739
256	482	3739
257	484	3738
258	485	3735
259	487	3732
260	489	3731
261	491	3730
262	493	3727
263	495	3727
264	497	3724
265	498	3721
266	500	3718
267	502	3716
268	504	3714
269	506	3712
270	508	3710
271	510	3708
272	511	3706
273	513	3704
274	515	3702
275	517	3699
276	519	3696
277	520	3694
278	522	3692
279	524	3690
280	526	3688
281	528	3686
282	529	3683
283	531	3680
284	533	3677
285	535	3675
286	536	3672
287	538	3670
288	540	3668
289	542	3666
290	544	3664
291	546	3662
292	548	3661
293	550	3659
294	551	3656
295	553	3654
296	555	3651
297	557	3650
298	559	3649
299	561	3646
300	562	3644
301	564	3641
302	566	3639
303	568	3636
304	569	3634
305	571	3631
306	573	3629
307	575	3628
308	577	3625
309	578	3623
310	582	3631
311	584	3628
312	585	3625
313	587	3623
314	589	3620
315	591	3619
316	593	3617
317	595	3615
318	596	3613
319	598	3611
320	600	3608
321	602	3605
322	604	3603
323	605	3601
324	607	3599
325	609	3596
326	611	3593
327	612	3591
328	614	3589
329	616	3586
330	618	3584
331	620	3582
332	620	3573
333	623	3576
334	625	3573
335	627	3571
336	628	3568
337	630	3566
338	632	3564
339	634	3562
340	635	3560
341	637	3557
342	639	3556
343	641	3554
344	644	3557
345	646	3555
346	647	3553
347	649	3551
348	651	3548
349	653	3547
350	655	3546
351	657	3543
352	659	3541
353	660	3539
354	662	3536
355	664	3534
356	666	3532
357	667	3530
358	669	3528
359	671	3525
360	673	3523
361	675	3521
362	676	3519
363	678	3516
364	680	3513
365	682	3511
366	684	3509
367	685	3508
368	687	3506
369	689	3504
370	691	3501
371	693	3499
372	694	3496
373	696	3494
374	698	3492
375	700	3490
376	702	3488
377	704	3486
378	705	3484
379	707	3482
380	709	3479
381	710	3476
382	712	3474
383	714	3472
384	716	3470
385	718	3468
386	720	3466
387	721	3464
388	723	3462
389	725	3459
390	727	3457
391	728	3454
392	730	3453
393	732	3451
394	734	3450
395	736	3449
396	738	3448
397	740	3446
398	742	3444
399	744	3442
400	747	3444
401	749	3443
402	751	3442
403	752	3439
404	754	3437
405	756	3435
406	758	3433
407	759	3430
408	761	3428
409	763	3426
410	765	3426
411	767	3424
412	769	3422
413	771	3420
414	772	3417
415	774	3415
416	776	3413
417	778	3410
418	780	3409
419	782	3407
420	784	3408
421	787	3410
422	789	3407
423	790	3405
424	792	3403
425	794	3401
426	796	3399
427	798	3399
428	800	3396
429	802	3394
430	803	3392
431	805	3389
432	807	3387
433	809	3385
434	810	3383
435	812	3381
436	814	3379
437	816	3377
438	818	3375
439	820	3373
440	821	3371
441	823	3368
442	825	3365
443	826	3363
444	828	3361
445	830	3360
446	832	3359
447	835	3360
448	837	3358
449	839	3356
450	840	3354
451	843	3355
452	845	3353
453	847	3352
454	849	3349
455	850	3347
456	852	3344
457	854	3342
458	856	3340
459	857	3338
460	859	3336
461	861	3334
462	864	3335
463	865	3333
464	867	3330
465	869	3328
466	871	3325
467	872	3323
468	874	3321
469	876	3319
470	878	3317
471	880	3315
472	882	3313
473	883	3311
474	885	3309
475	887	3306
476	889	3304
477	891	3303
478	892	3301
479	894	3299
480	896	3297
481	898	3295
482	900	3292
483	901	3290
484	903	3288
485	905	3286
486	907	3284
487	909	3282
488	911	3281
489	912	3279
490	914	3277
491	916	3275
492	918	3272
493	920	3270
494	921	3268
495	923	3266
496	925	3265
497	927	3263
498	929	3262
499	931	3260
500	933	3258
501	935	3256
502	936	3253
503	938	3251
504	940	3250
505	942	3248
506	944	3246
507	946	3244
508	947	3242
509	949	3240
510	951	3238
511	953	3237
512	955	3235
513	957	3233
514	959	3232
515	961	3230
516	962	3227
517	964	3225
518	966	3223
519	968	3221
520	970	3219
521	971	3217
522	973	3216
523	975	3214
524	977	3212
525	979	3210
526	981	3210
527	983	3207
528	985	3206
529	987	3204
530	989	3202
531	991	3200
532	992	3198
533	994	3196
534	996	3194
535	998	3192
536	999	3189
537	1001	3187
538	1003	3186
539	1005	3184
540	1007	3182
541	1009	3180
542	1010	3178
543	1012	3176
544	1014	3174
545	1016	3172
546	1018	3171
547	1020	3169
548	1022	3167
549	1024	3166
550	1026	3165
551	1028	3164
552	1030	3162
553	1032	3160
554	1034	3159
555	1036	3158
556	1038	3157
557	1040	3156
558	1042	3154
559	1044	3152
560	1046	3150
561	1048	3149
562	1050	3148
563	1052	3146
564	1054	3144
565	1056	3142
566	1057	3140
567	1059	3138
568	1061	3136
569	1063	3134
570	1065	3133
571	1067	3131
572	1069	3129
573	1071	3128
574	1073	3126
575	1075	3124
576	1076	3122
577	1078	3120
578	1080	3118
579	1082	3117
580	1084	3115
581	1086	3113
582	1088	3111
583	1090	3109
584	1092	3108
585	1093	3106
586	1095	3104
587	1098	3103
588	1100	3102
589	1102	3100
590	1103	3098
591	1105	3097
592	1107	3095
593	1109	3093
594	1111	3091
595	1113	3089
596	1115	3088
597	1117	3087
598	1119	3085
599	1121	3083
600	1123	3082
601	1125	3081
602	1127	3079
603	1129	3078
604	1131	3076
605	1133	3076
606	1135	3074
607	1137	3072
608	1139	3071
609	1141	3069
610	1143	3067
611	1145	3065
612	1147	3063
613	1149	3062
614	1151	3060
615	1153	3058
616	1154	3056
617	1156	3054
618	1158	3053
619	1160	3051
620	1162	3049
621	1164	3048
622	1166	3047
623	1168	3045
624	1170	3043
625	1172	3041
626	1174	3039
627	1176	3037
628	1178	3036
629	1180	3034
630	1182	3032
631	1183	3031
632	1185	3029
633	1187	3027
634	1189	3025
635	1191	3023
636	1193	3021
637	1195	3019
638	1197	3018
639	1199	3016
640	1200	3014
641	1202	3012
642	1204	3010
643	1206	3008
644	1208	3006
645	1210	3005
646	1212	3003
647	1214	3002
648	1216	3000
649	1218	2999
650	1220	2998
651	1222	2996
652	1224	2995
653	1226	2993
654	1228	2992
655	1231	2991
656	1233	2990
657	1235	2989
658	1237	2987
659	1239	2985
660	1241	2984
661	1243	2983
662	1245	2981
663	1247	2979
664	1249	2978
665	1252	2978
666	1254	2976
667	1256	2975
668	1258	2973
669	1260	2972
670	1262	2971
671	1265	2970
672	1267	2969
673	1269	2968
674	1271	2966
675	1273	2964
676	1275	2962
677	1277	2961
678	1278	2959
679	1280	2957
680	1282	2954
681	1284	2952
682	1286	2950
683	1287	2948
684	1289	2946
685	1291	2944
686	1293	2942
687	1295	2940
688	1296	2938
689	1298	2936
690	1300	2934
691	1302	2932
692	1304	2930
693	1306	2928
694	1307	2926
695	1309	2924
696	1311	2923
697	1313	2921
698	1315	2919
699	1317	2917
700	1319	2915
701	1321	2913
702	1323	2911
703	1325	2910
704	1327	2908
705	1328	2906
706	1330	2904
707	1332	2902
708	1334	2900
709	1336	2897
710	1338	2896
711	1339	2894
712	1341	2892
713	1343	2890
714	1345	2888
715	1347	2886
716	1348	2884
717	1350	2882
718	1352	2879
719	1354	2877
720	1356	2877
721	1358	2875
722	1360	2872
723	1362	2870
724	1363	2868
725	1365	2866
726	1367	2864
727	1369	2862
728	1370	2860
729	1373	2860
730	1375	2858
731	1377	2856
732	1378	2853
733	1380	2851
734	1382	2849
735	1384	2847
736	1386	2845
737	1387	2843
738	1389	2841
739	1391	2838
740	1392	2836
741	1394	2834
742	1396	2832
743	1398	2830
744	1400	2828
745	1401	2826
746	1403	2824
747	1405	2822
748	1407	2820
749	1409	2818
750	1411	2816
751	1413	2814
752	1414	2812
753	1416	2810
754	1418	2808
755	1420	2807
756	1422	2805
757	1424	2803
758	1425	2801
759	1427	2799
760	1429	2796
761	1431	2794
762	1432	2792
763	1434	2790
764	1436	2788
765	1438	2786
766	1439	2784
767	1441	2781
768	1443	2779
769	1445	2777
770	1446	2775
771	1448	2773
772	1450	2771
773	1452	2769
774	1454	2767
775	1455	2765
776	1457	2763
777	1459	2761
778	1461	2759
779	1462	2756
780	1464	2755
781	1466	2753
782	1468	2751
783	1470	2749
784	1472	2747
785	1473	2745
786	1475	2743
787	1477	2740
788	1479	2738
789	1480	2737
790	1482	2735
791	1484	2733
792	1486	2731
793	1488	2729
794	1490	2727
795	1491	2725
796	1493	2722
797	1495	2720
798	1497	2719
799	1499	2717
800	1501	2715
801	1503	2715
802	1505	2713
803	1507	2711
804	1509	2709
805	1511	2707
806	1512	2705
807	1514	2703
808	1516	2701
809	1518	2699
810	1520	2697
811	1521	2695
812	1523	2693
813	1525	2690
814	1527	2689
815	1529	2688
816	1531	2686
817	1533	2684
818	1534	2682
819	1536	2679
820	1538	2677
821	1540	2675
822	1541	2673
823	1543	2671
824	1545	2669
825	1547	2667
826	1548	2665
827	1550	2663
828	1552	2661
829	1554	2659
830	1556	2657
831	1557	2655
832	1559	2653
833	1561	2651
834	1563	2649
835	1565	2647
836	1567	2646
837	1569	2644
838	1571	2642
839	1572	2640
840	1574	2638
841	1576	2636
842	1578	2634
843	1580	2633
844	1582	2631
845	1584	2628
846	1585	2626
847	1587	2624
848	1589	2622
849	1591	2621
850	1593	2619
851	1595	2617
852	1596	2615
853	1598	2613
854	1600	2611
855	1602	2609
856	1604	2607
857	1605	2605
858	1607	2603
859	1609	2601
860	1611	2599
861	1613	2598
862	1615	2596
863	1617	2593
864	1618	2592
865	1620	2590
866	1622	2587
867	1624	2585
868	1625	2583
869	1627	2582
870	1629	2580
871	1631	2577
872	1633	2575
873	1634	2573
874	1636	2571
875	1638	2569
876	1639	2567
877	1641	2565
878	1643	2563
879	1645	2561
880	1647	2559
881	1648	2557
882	1650	2555
883	1652	2553
884	1654	2551
885	1655	2549
886	1657	2547
887	1659	2545
888	1661	2543
889	1662	2541
890	1664	2539
891	1666	2537
892	1668	2534
893	1669	2532
894	1671	2530
895	1673	2529
896	1675	2527
897	1677	2525
898	1679	2523
899	1680	2521
900	1682	2519
901	1684	2517
902	1686	2515
903	1687	2513
904	1689	2511
905	1691	2509
906	1693	2507
907	1695	2505
908	1697	2503
909	1699	2501
910	1700	2499
911	1702	2497
912	1704	2495
913	1706	2494
914	1708	2492
915	1710	2490
916	1711	2488
917	1713	2486
918	1715	2484
919	1717	2482
920	1719	2480
921	1721	2479
922	1723	2477
923	1725	2476
924	1727	2474
925	1729	2472
926	1730	2470
927	1732	2468
928	1734	2466
929	1736	2464
930	1738	2462
931	1740	2461
932	1743	2460
933	1745	2459
934	1747	2457
935	1748	2455
936	1750	2453
937	1752	2451
938	1754	2450
939	1757	2448
940	1758	2446
941	1760	2444
942	1762	2442
943	1764	2440
944	1766	2438
945	1767	2437
946	1769	2435
947	1771	2433
948	1773	2431
949	1775	2429
950	1777	2427
951	1778	2425
952	1780	2423
953	1782	2421
954	1784	2419
955	1786	2417
956	1788	2415
957	1789	2413
958	1791	2412
959	1793	2410
960	1795	2408
961	1797	2406
962	1799	2404
963	1801	2402
964	1803	2401
965	1805	2399
966	1806	2397
967	1808	2395
968	1810	2393
969	1812	2391
970	1814	2389
971	1815	2387
972	1817	2385
973	1819	2384
974	1821	2382
975	1823	2380
976	1825	2378
977	1827	2376
978	1828	2374
979	1830	2372
980	1832	2370
981	1834	2368
982	1836	2366
983	1838	2364
984	1839	2362
985	1841	2360
986	1843	2358
987	1845	2357
988	1847	2355
989	1849	2353
990	1850	2351
991	1852	2349
992	1854	2347
993	1856	2345
994	1858	2343
995	1859	2341
996	1861	2339
997	1863	2337
998	1865	2335
999	1867	2333
1000	1868	2331
1001	1870	2329
1002	1872	2327
1003	1874	2325
1004	1875	2323
1005	1877	2321
1006	1879	2319
1007	1881	2317
1008	1883	2317
1009	1885	2315
1010	1887	2313
1011	1889	2311
1012	1891	2309
1013	1893	2307
1014	1894	2305
1015	1896	2303
1016	1898	2301
1017	1900	2299
1018	1902	2298
1019	1904	2296
1020	1905	2294
1021	1907	2292
1022	1909	2290
1023	1911	2288
1024	1913	2286
1025	1915	2284
1026	1916	2282
1027	1918	2280
1028	1920	2278
1029	1921	2276
1030	1923	2274
1031	1925	2272
1032	1927	2270
1033	1929	2269
1034	1931	2267
1035	1933	2265
1036	1935	2263
1037	1936	2261
1038	1938	2259
1039	1940	2257
1040	1942	2255
1041	1943	2253
1042	1945	2251
1043	1947	2249
1044	1949	2248
1045	1951	2246
1046	1953	2244
1047	1954	2242
1048	1956	2240
1049	1958	2237
1050	1960	2236
1051	1961	2234
1052	1963	2232
1053	1965	2230
1054	1967	2228
1055	1968	2226
1056	1970	2224
1057	1972	2222
1058	1974	2220
1059	1976	2218
1060	1977	2216
1061	2057	2301
1062	2059	2299
1063	2061	2297
1064	2063	2296
1065	2068	2296
1066	2072	2297
1067	2077	2299
1068	2081	2299
1069	2084	2299
1070	2088	2298
1071	2090	2297
1072	2092	2295
1073	2095	2294
1074	2097	2292
1075	2099	2291
1076	2102	2289
1077	2104	2287
1078	2106	2286
1079	2109	2284
1080	2111	2283
1081	2113	2281
1082	2115	2279
1083	2117	2277
1084	2119	2275
1085	2121	2273
1086	2123	2271
1087	2125	2269
1088	2127	2267
1089	2129	2265
1090	2131	2263
1091	2133	2261
1092	2135	2260
1093	2136	2258
1094	2138	2256
1095	2140	2254
1096	2143	2252
1097	2145	2250
1098	2147	2248
1099	2148	2246
1100	2150	2244
1101	2152	2242
1102	2155	2241
1103	2157	2239
1104	2159	2237
1105	2161	2235
1106	2163	2233
1107	2165	2231
1108	2167	2229
1109	2169	2227
1110	2171	2225
1111	2173	2224
1112	2175	2222
1113	2177	2220
1114	2179	2218
1115	2181	2216
1116	2183	2214
1117	2185	2212
1118	2187	2210
1119	2189	2209
1120	2191	2207
1121	2193	2205
1122	2195	2203
1123	2197	2201
1124	2200	2200
1125	2202	2198
1126	2204	2196
1127	2206	2194
1128	2208	2192
1129	2210	2190
1130	2212	2188
1131	2214	2186
1132	2215	2184
1133	2217	2182
1134	2219	2180
1135	2221	2178
1136	2223	2176
1137	2225	2175
1138	2227	2173
1139	2229	2171
1140	2231	2169
1141	2233	2167
1142	2235	2165
1143	2237	2163
1144	2239	2161
1145	2241	2159
1146	2243	2157
1147	2245	2155
1148	2247	2153
1149	2249	2151
1150	2251	2149
1151	2253	2147
1152	2255	2145
1153	2256	2143
1154	2258	2141
1155	2260	2139
1156	2262	2137
1157	2264	2135
1158	2266	2133
1159	2268	2131
1160	2270	2129
1161	2272	2128
1162	2274	2126
1163	2276	2124
1164	2278	2122
1165	2280	2119
1166	2282	2118
1167	2284	2115
1168	2286	2114
1169	2288	2112
1170	2289	2110
1171	2291	2108
1172	2293	2105
1173	2295	2103
1174	2297	2101
1175	2299	2099
1176	2301	2098
1177	2303	2096
1178	2305	2094
1179	2307	2092
1180	2309	2090
1181	2311	2088
1182	2313	2086
1183	2315	2084
1184	2317	2082
1185	2319	2080
1186	2321	2078
1187	2322	2076
1188	2324	2074
1189	2326	2072
1190	2328	2070
1191	2330	2068
1192	2332	2066
1193	2334	2064
1194	2336	2062
1195	2338	2060
1196	2340	2059
1197	2342	2057
1198	2344	2055
1199	2346	2053
1200	2349	2051
1201	2351	2050
1202	2353	2048
1203	2355	2046
1204	2357	2044
1205	2359	2042
1206	2360	2040
1207	2362	2038
1208	2364	2036
1209	2366	2034
1210	2368	2032
1211	2370	2030
1212	2372	2028
1213	2374	2025
1214	2375	2023
1215	2378	2022
1216	2379	2020
1217	2382	2018
1218	2384	2016
1219	2385	2014
1220	2387	2012
1221	2389	2010
1222	2391	2008
1223	2393	2006
1224	2395	2004
1225	2397	2002
1226	2399	2000
1227	2401	1998
1228	2404	1997
1229	2406	1995
1230	2408	1993
1231	2410	1991
1232	2412	1990
1233	2414	1988
1234	2416	1986
1235	2418	1984
1236	2420	1982
1237	2422	1980
1238	2424	1978
1239	2426	1976
1240	2428	1974
1241	2430	1972
1242	2432	1970
1243	2434	1968
1244	2436	1966
1245	2437	1964
1246	2439	1962
1247	2441	1960
1248	2443	1958
1249	2445	1956
1250	2448	1954
1251	2450	1953
1252	2452	1951
1253	2454	1949
1254	2456	1947
1255	2459	1946
1256	2461	1944
1257	2463	1942
1258	2465	1940
1259	2467	1938
1260	2468	1936
1261	2470	1934
1262	2472	1932
1263	2474	1930
1264	2476	1928
1265	2478	1926
1266	2480	1924
1267	2482	1922
1268	2484	1920
1269	2486	1918
1270	2488	1916
1271	2490	1914
1272	2492	1912
1273	2494	1911
1274	2496	1909
1275	2498	1907
1276	2500	1905
1277	2502	1903
1278	2504	1901
1279	2506	1899
1280	2508	1897
1281	2510	1895
1282	2512	1893
1283	2514	1891
1284	2516	1889
1285	2518	1888
1286	2520	1886
1287	2522	1884
1288	2524	1882
1289	2526	1880
1290	2528	1878
1291	2530	1876
1292	2532	1874
1293	2534	1872
1294	2536	1870
1295	2538	1868
1296	2540	1866
1297	2542	1864
1298	2544	1862
1299	2546	1860
1300	2547	1858
1301	2549	1856
1302	2551	1854
1303	2553	1852
1304	2555	1850
1305	2557	1848
1306	2559	1846
1307	2561	1844
1308	2563	1842
1309	2565	1840
1310	2567	1838
1311	2569	1836
1312	2571	1834
1313	2573	1833
1314	2575	1831
1315	2577	1829
1316	2579	1827
1317	2581	1825
1318	2582	1823
1319	2584	1821
1320	2586	1819
1321	2588	1817
1322	2591	1815
1323	2593	1813
1324	2595	1811
1325	2597	1810
1326	2599	1807
1327	2601	1806
1328	2603	1804
1329	2605	1802
1330	2607	1800
1331	2609	1798
1332	2611	1796
1333	2613	1794
1334	2614	1792
1335	2616	1790
1336	2618	1788
1337	2620	1786
1338	2622	1784
1339	2624	1782
1340	2626	1780
1341	2628	1778
1342	2630	1776
1343	2631	1774
1344	2634	1772
1345	2636	1770
1346	2638	1768
1347	2640	1766
1348	2642	1764
1349	2643	1762
1350	2645	1760
1351	2647	1758
1352	2649	1756
1353	2652	1755
1354	2654	1753
1355	2656	1751
1356	2658	1749
1357	2660	1747
1358	2662	1745
1359	2664	1743
1360	2665	1741
1361	2668	1739
1362	2670	1737
1363	2671	1735
1364	2673	1733
1365	2675	1731
1366	2677	1729
1367	2679	1727
1368	2681	1725
1369	2683	1723
1370	2685	1721
1371	2687	1719
1372	2689	1718
1373	2691	1715
1374	2693	1713
1375	2694	1711
1376	2696	1709
1377	2698	1707
1378	2700	1705
1379	2702	1703
1380	2704	1701
1381	2706	1699
1382	2708	1697
1383	2710	1695
1384	2711	1693
1385	2713	1691
1386	2715	1689
1387	2717	1687
1388	2719	1685
1389	2721	1683
1390	2723	1681
1391	2724	1679
1392	2726	1677
1393	2728	1675
1394	2730	1673
1395	2732	1671
1396	2734	1669
1397	2736	1667
1398	2738	1665
1399	2740	1663
1400	2742	1661
1401	2744	1660
1402	2746	1658
1403	2749	1656
1404	2751	1654
1405	2753	1652
1406	2754	1650
1407	2756	1648
1408	2758	1646
1409	2760	1644
1410	2762	1642
1411	2764	1640
1412	2765	1638
1413	2767	1636
1414	2769	1634
1415	2771	1632
1416	2773	1630
1417	2774	1628
1418	2776	1626
1419	2778	1623
1420	2780	1621
1421	2782	1619
1422	2784	1618
1423	2786	1616
1424	2788	1614
1425	2789	1612
1426	2791	1610
1427	2793	1608
1428	2795	1606
1429	2797	1604
1430	2799	1602
1431	2801	1600
1432	2802	1598
1433	2804	1596
1434	2806	1594
1435	2808	1592
1436	2811	1590
1437	2813	1588
1438	2815	1586
1439	2817	1584
1440	2819	1582
1441	2821	1581
1442	2823	1579
1443	2826	1577
1444	2828	1575
1445	2830	1573
1446	2832	1571
1447	2834	1570
1448	2836	1567
1449	2838	1566
1450	2840	1564
1451	2842	1562
1452	2845	1560
1453	2847	1559
1454	2849	1557
1455	2851	1555
1456	2853	1553
1457	2855	1551
1458	2858	1549
1459	2860	1547
1460	2863	1546
1461	2865	1544
1462	2867	1542
1463	2869	1540
1464	2871	1538
1465	2873	1536
1466	2875	1534
1467	2877	1532
1468	2879	1531
1469	2882	1529
1470	2884	1527
1471	2886	1525
1472	2888	1523
1473	2890	1521
1474	2893	1520
1475	2896	1518
1476	2898	1516
1477	2900	1515
1478	2903	1513
1479	2905	1511
1480	2908	1509
1481	2910	1508
1482	2913	1506
1483	2915	1504
1484	2917	1503
1485	2920	1501
1486	2922	1499
1487	2925	1498
1488	2927	1496
1489	2929	1494
1490	2931	1492
1491	2933	1490
1492	2935	1488
1493	2937	1486
1494	2939	1484
1495	2941	1482
1496	2942	1480
1497	2944	1478
1498	2946	1476
1499	2948	1474
1500	2949	1472
1501	2951	1469
1502	2953	1467
1503	2955	1465
1504	2957	1463
1505	2958	1461
1506	2960	1459
1507	2962	1457
1508	2964	1455
1509	2965	1453
1510	2967	1451
1511	2969	1449
1512	2971	1447
1513	2974	1445
1514	2975	1443
1515	2977	1441
1516	2979	1439
1517	2981	1437
1518	2983	1435
1519	2985	1433
1520	2986	1431
1521	2989	1429
1522	2990	1427
1523	2992	1425
1524	2994	1423
1525	2995	1421
1526	2997	1419
1527	2999	1417
1528	3001	1415
1529	3003	1413
1530	3005	1411
1531	3006	1409
1532	3008	1407
1533	3010	1405
1534	3011	1402
1535	3013	1400
1536	3015	1398
1537	3017	1396
1538	3019	1394
1539	3021	1392
1540	3022	1390
1541	3025	1389
1542	3027	1386
1543	3028	1384
1544	3030	1382
1545	3032	1380
1546	3034	1378
1547	3035	1376
1548	3037	1374
1549	3040	1373
1550	3042	1371
1551	3044	1369
1552	3046	1367
1553	3047	1365
1554	3049	1363
1555	3051	1361
1556	3054	1359
1557	3055	1357
1558	3057	1355
1559	3059	1353
1560	3061	1351
1561	3062	1349
1562	3064	1347
1563	3066	1345
1564	3068	1343
1565	3071	1341
1566	3073	1339
1567	3075	1337
1568	3076	1335
1569	3078	1333
1570	3080	1331
1571	3082	1329
1572	3084	1327
1573	3086	1325
1574	3087	1323
1575	3089	1321
1576	3091	1319
1577	3093	1317
1578	3094	1315
1579	3096	1313
1580	3098	1311
1581	3101	1309
1582	3102	1307
1583	3104	1305
1584	3106	1303
1585	3108	1301
1586	3109	1299
1587	3111	1297
1588	3113	1295
1589	3115	1293
1590	3117	1291
1591	3119	1289
1592	3121	1287
1593	3122	1285
1594	3124	1283
1595	3126	1281
1596	3128	1279
1597	3129	1277
1598	3131	1275
1599	3134	1273
1600	3135	1271
1601	3137	1269
1602	3139	1267
1603	3141	1265
1604	3142	1263
1605	3144	1261
1606	3146	1259
1607	3148	1256
1608	3150	1254
1609	3151	1252
1610	3153	1250
1611	3155	1248
1612	3157	1246
1613	3158	1244
1614	3160	1242
1615	3162	1240
1616	3164	1238
1617	3166	1236
1618	3168	1234
1619	3170	1232
1620	3171	1230
1621	3173	1228
1622	3175	1226
1623	3177	1224
1624	3179	1222
1625	3181	1220
1626	3183	1219
1627	3185	1217
1628	3187	1215
1629	3189	1213
1630	3191	1211
1631	3193	1209
1632	3195	1207
1633	3197	1205
1634	3199	1203
1635	3201	1201
1636	3202	1199
1637	3204	1197
1638	3206	1195
1639	3208	1193
1640	3210	1191
1641	3212	1189
1642	3213	1187
1643	3215	1185
1644	3217	1183
1645	3218	1181
1646	3220	1179
1647	3222	1177
1648	3224	1175
1649	3226	1173
1650	3227	1171
1651	3229	1169
1652	3231	1167
1653	3233	1165
1654	3234	1163
1655	3236	1161
1656	3238	1158
1657	3240	1156
1658	3242	1154
1659	3243	1152
1660	3245	1151
1661	3247	1148
1662	3249	1146
1663	3251	1144
1664	3253	1143
1665	3255	1141
1666	3257	1139
1667	3259	1137
1668	3261	1135
1669	3262	1133
1670	3264	1131
1671	3266	1129
1672	3268	1127
1673	3270	1125
1674	3271	1123
1675	3273	1121
1676	3275	1119
1677	3277	1117
1678	3279	1115
1679	3281	1113
1680	3282	1111
1681	3284	1109
1682	3286	1107
1683	3288	1105
1684	3290	1103
1685	3292	1101
1686	3293	1099
1687	3295	1097
1688	3297	1095
1689	3299	1093
1690	3301	1091
1691	3302	1089
1692	3304	1087
1693	3306	1085
1694	3309	1083
1695	3311	1081
1696	3312	1079
1697	3314	1077
1698	3316	1075
1699	3318	1073
1700	3319	1071
1701	3322	1069
1702	3324	1067
1703	3325	1065
1704	3327	1063
1705	3329	1061
1706	3331	1059
1707	3333	1057
1708	3334	1055
1709	3336	1053
1710	3338	1051
1711	3340	1049
1712	3342	1047
1713	3343	1045
1714	3345	1043
1715	3347	1041
1716	3349	1039
1717	3350	1037
1718	3352	1035
1719	3354	1033
1720	3357	1031
1721	3359	1029
1722	3361	1028
